sector,stock,label_type,y_0_count,y_1_count,y_0_ratio,y_1_ratio
bank+news,001227.SZ.csv,next,142,77,0.6484018264840182,0.3515981735159817
bank+news,001227.SZ.csv,today,135,85,0.6136363636363636,0.38636363636363635
bank+news,002142.SZ.csv,next,740,650,0.5323741007194245,0.4676258992805755
bank+news,002142.SZ.csv,today,746,645,0.5363048166786485,0.46369518332135157
bank+news,002936.SZ.csv,next,544,342,0.6139954853273137,0.3860045146726862
bank+news,002936.SZ.csv,today,540,347,0.608793686583991,0.39120631341600903
bank+news,002948.SZ.csv,next,481,381,0.5580046403712297,0.4419953596287703
bank+news,002948.SZ.csv,today,484,379,0.5608342989571263,0.4391657010428737
bank+news,002958.SZ.csv,next,303,202,0.6,0.4
bank+news,002958.SZ.csv,today,302,204,0.5968379446640316,0.4031620553359684
bank+news,002966.SZ.csv,next,390,318,0.5508474576271186,0.4491525423728814
bank+news,002966.SZ.csv,today,391,318,0.5514809590973202,0.44851904090267986
bank+news,600000.SH.csv,next,802,661,0.5481886534518113,0.45181134654818866
bank+news,600000.SH.csv,today,799,665,0.5457650273224044,0.4542349726775956
bank+news,600015.SH.csv,next,839,646,0.564983164983165,0.435016835016835
bank+news,600015.SH.csv,today,839,647,0.5646029609690444,0.4353970390309556
bank+news,600016.SH.csv,next,904,649,0.5820991629104958,0.4179008370895042
bank+news,600016.SH.csv,today,900,654,0.5791505791505791,0.42084942084942084
bank+news,600036.SH.csv,next,807,748,0.5189710610932476,0.4810289389067524
bank+news,600036.SH.csv,today,804,752,0.5167095115681234,0.4832904884318766
bank+news,600919.SH.csv,next,803,633,0.5591922005571031,0.44080779944289694
bank+news,600919.SH.csv,today,803,634,0.558803061934586,0.44119693806541405
bank+news,600926.SH.csv,next,663,590,0.5291300877893057,0.47086991221069435
bank+news,600926.SH.csv,today,663,591,0.5287081339712919,0.47129186602870815
bank+news,600928.SH.csv,next,360,278,0.5642633228840125,0.43573667711598746
bank+news,600928.SH.csv,today,373,266,0.5837245696400626,0.4162754303599374
bank+news,601009.SH.csv,next,723,633,0.5331858407079646,0.4668141592920354
bank+news,601009.SH.csv,today,713,644,0.5254237288135594,0.4745762711864407
bank+news,601077.SH.csv,next,430,283,0.603085553997195,0.39691444600280507
bank+news,601077.SH.csv,today,431,283,0.603641456582633,0.3963585434173669
bank+news,601128.SH.csv,next,479,430,0.5269526952695269,0.4730473047304731
bank+news,601128.SH.csv,today,479,431,0.5263736263736264,0.4736263736263736
bank+news,601166.SH.csv,next,827,721,0.5342377260981912,0.4657622739018088
bank+news,601166.SH.csv,today,824,725,0.5319561007101355,0.46804389928986445
bank+news,601187.SH.csv,next,282,235,0.5454545454545454,0.45454545454545453
bank+news,601187.SH.csv,today,283,235,0.5463320463320464,0.45366795366795365
bank+news,601229.SH.csv,next,692,569,0.548770816812054,0.4512291831879461
bank+news,601229.SH.csv,today,684,578,0.5419968304278923,0.45800316957210774
bank+news,601328.SH.csv,next,857,694,0.5525467440361057,0.44745325596389424
bank+news,601328.SH.csv,today,857,695,0.5521907216494846,0.4478092783505155
bank+news,601528.SH.csv,next,161,114,0.5854545454545454,0.41454545454545455
bank+news,601528.SH.csv,today,154,122,0.5579710144927537,0.4420289855072464
bank+news,601665.SH.csv,next,212,166,0.5608465608465608,0.43915343915343913
bank+news,601665.SH.csv,today,217,162,0.5725593667546174,0.42744063324538256
bank+news,601825.SH.csv,next,223,165,0.5747422680412371,0.4252577319587629
bank+news,601825.SH.csv,today,224,165,0.5758354755784062,0.4241645244215938
bank+news,601838.SH.csv,next,506,433,0.5388711395101171,0.46112886048988283
bank+news,601838.SH.csv,today,493,447,0.524468085106383,0.475531914893617
bank+news,601916.SH.csv,next,508,329,0.6069295101553166,0.3930704898446834
bank+news,601916.SH.csv,today,509,329,0.6073985680190931,0.3926014319809069
bank+news,601939.SH.csv,next,847,707,0.545045045045045,0.45495495495495497
bank+news,601939.SH.csv,today,846,709,0.5440514469453376,0.45594855305466236
bank+news,601963.SH.csv,next,256,237,0.5192697768762677,0.48073022312373226
bank+news,601963.SH.csv,today,258,236,0.5222672064777328,0.4777327935222672
bank+news,601998.SH.csv,next,883,669,0.5689432989690721,0.43105670103092786
bank+news,601998.SH.csv,today,883,670,0.5685769478428847,0.43142305215711524
bank+news,603323.SH.csv,next,343,282,0.5488,0.4512
bank+news,603323.SH.csv,today,337,289,0.5383386581469649,0.46166134185303515
multi,002033.SZ.csv,next,207,206,0.5012106537530266,0.49878934624697335
multi,002033.SZ.csv,today,204,210,0.4927536231884058,0.5072463768115942
multi,002739.SZ.csv,next,319,306,0.5104,0.4896
multi,002739.SZ.csv,today,318,308,0.5079872204472844,0.49201277955271566
multi,002948.SZ.csv,next,481,381,0.5580046403712297,0.4419953596287703
multi,002948.SZ.csv,today,484,379,0.5608342989571263,0.4391657010428737
multi,600036.SH.csv,next,807,748,0.5189710610932476,0.4810289389067524
multi,600036.SH.csv,today,804,752,0.5167095115681234,0.4832904884318766
multi,600138.SH.csv,next,456,434,0.5123595505617977,0.48764044943820223
multi,600138.SH.csv,today,458,433,0.5140291806958474,0.48597081930415265
multi,600576.SH.csv,next,349,291,0.5453125,0.4546875
multi,600576.SH.csv,today,350,291,0.5460218408736349,0.4539781591263651
multi,600749.SH.csv,next,95,94,0.5026455026455027,0.4973544973544973
multi,600749.SH.csv,today,89,101,0.46842105263157896,0.531578947368421
multi,600900.SH.csv,next,521,500,0.5102840352595495,0.48971596474045054
multi,600900.SH.csv,today,539,483,0.5273972602739726,0.4726027397260274
multi,600919.SH.csv,next,803,633,0.5591922005571031,0.44080779944289694
multi,600919.SH.csv,today,803,634,0.558803061934586,0.44119693806541405
multi,600926.SH.csv,next,663,590,0.5291300877893057,0.47086991221069435
multi,600926.SH.csv,today,663,591,0.5287081339712919,0.47129186602870815
multi,601128.SH.csv,next,479,430,0.5269526952695269,0.4730473047304731
multi,601128.SH.csv,today,479,431,0.5263736263736264,0.4736263736263736
multi,601166.SH.csv,next,827,721,0.5342377260981912,0.4657622739018088
multi,601166.SH.csv,today,824,725,0.5319561007101355,0.46804389928986445
multi,601288.SH.csv,next,909,646,0.5845659163987138,0.4154340836012862
multi,601288.SH.csv,today,906,650,0.5822622107969152,0.41773778920308485
multi,601398.SH.csv,next,856,699,0.5504823151125402,0.4495176848874598
